parent_concept,pred_count,pred_pct,avg_confidence,n_child_concepts_predicted,n_countries
building_facade,168,5.340114431023522,0.4075520882116897,53,20
bollard_design,115,3.655435473617292,0.38557312585737397,38,19
road_sign,114,3.6236490781945325,0.3716486155202514,56,17
script_latin,112,3.560076287349015,0.31670591002330184,59,15
camera_meta,104,3.3057851239669422,0.3081039489031984,47,21
pole_marker,97,3.083280356007629,0.4845343477947196,28,10
road_line,89,2.8289891926255564,0.3800434909258666,17,16
car_meta,88,2.797202797202797,0.3691764607686888,37,20
vegetation_forest_temperate,80,2.542911633820725,0.2951100006699562,47,17
landscape_hills_temperate,78,2.479338842975207,0.22159882911886924,46,20
chevron,76,2.4157660521296886,0.2655028208698097,30,21
landscape_hills_tropical,71,2.256834075015893,0.31990077629895275,42,8
pole_shape,69,2.193261284170375,0.3140096105095269,32,20
car_type,66,2.097902097902098,0.3039979562163353,18,13
landscape_mountains_temperate,63,2.002542911633821,0.2383011950859948,25,13
landscape_urban,59,1.8753973299427844,0.2559262769202055,21,13
landscape_alpine,55,1.7482517482517483,0.2766771773045713,19,8
phone_code,54,1.7164653528289893,0.3214793339095734,27,16
bollard_shape,52,1.6528925619834711,0.26308199319128805,17,15
Baden-Wrttemberg,50,1.589319771137953,0.28918841734528544,16,6
landscape_hills,49,1.557533375715194,0.20589146633841554,32,10
road_marker,48,1.5257469802924348,0.3025258472189307,21,14
Chilo Island,47,1.4939605848696758,0.2391083061378053,18,12
script_catalan,47,1.4939605848696758,0.39625803270238513,12,5
building_roof,42,1.3350286077558804,0.35407192313245367,19,8
landscape_soil,42,1.3350286077558804,0.2494377600295203,28,13
road_dirt,34,1.080737444373808,0.30753015354275703,17,8
script_latvian,29,0.9218054672600127,0.27925063618298235,13,7
landscape_mountains_tropical,29,0.9218054672600127,0.262066300059187,24,9
vegetation_vineyard,29,0.9218054672600127,0.3528230927627662,21,10
road_dashed,28,0.8900190718372537,0.2550917859854443,11,4
landscape_desert,26,0.8264462809917356,0.24032245089228338,16,8
road_dirt_tropical,25,0.7946598855689765,0.3324472317099571,13,5
buddhism,24,0.7628734901462174,0.22061227541416883,11,2
script_cyrillic,22,0.6993006993006993,0.4248953766443513,10,4
vegetation_trees,22,0.6993006993006993,0.1602131829343059,19,14
post_sign,21,0.6675143038779402,0.2658721034725507,14,8
script_bengali,21,0.6675143038779402,0.3544688920180003,7,1
script_estonian,21,0.6675143038779402,0.24185348089252198,10,7
Park Prirode _umberak,21,0.6675143038779402,0.2163791603275708,10,5
vegetation_forest,21,0.6675143038779402,0.33098181230681284,11,4
vegetation_fruit,20,0.6357279084551812,0.19556135237216948,10,5
vegetation_cacti,19,0.6039415130324222,0.24187925928517393,15,8
landscape_hills_arid,19,0.6039415130324222,0.3200965892327459,15,6
vegetation_crops,19,0.6039415130324222,0.2919047894446473,16,4
guardrail,18,0.5721551176096631,0.1896564687291781,13,9
landscape_plain_temperate,18,0.5721551176096631,0.2187248050338692,11,6
landscape_flatland_temperate,17,0.540368722186904,0.21085670962929726,10,8
Paran Pines,17,0.540368722186904,0.16348656398408554,9,8
vegetation_forest_boreal,16,0.5085823267641449,0.20689447782933712,12,6
landscape_fog,16,0.5085823267641449,0.21213382296264172,6,3
landscape_valley,16,0.5085823267641449,0.20761521253734827,12,5
San Jos White Tag,16,0.5085823267641449,0.26998071977868676,6,4
landscape_soil_arid,15,0.47679593134138587,0.2152297337849935,6,5
script_basque,15,0.47679593134138587,0.2643864656488101,11,5
road_divided,15,0.47679593134138587,0.3083318263292313,8,7
Concepcin City Proper,14,0.44500953591862685,0.22598300448485784,7,4
landscape_savannah,13,0.4132231404958678,0.17098082773960555,9,4
infrastructure_industrial,13,0.4132231404958678,0.19401909009768412,11,8
landscape_sign,12,0.3814367450731087,0.2723542731255293,8,5
landscape_mountains,12,0.3814367450731087,0.22093912834922472,10,8
vegetation_tea,12,0.3814367450731087,0.23698772055407366,7,1
Paran pines,11,0.34965034965034963,0.22882822426882657,4,2
landscape_rock,11,0.34965034965034963,0.22643492167646234,7,5
"Crdoba, Buenos Aires and Santiago del Estero.",11,0.34965034965034963,0.1769079715013504,7,4
Tucumn,11,0.34965034965034963,0.2783054269172929,7,4
infrastructure_wind,11,0.34965034965034963,0.15999118441885168,6,5
vegetation_forest_tropical,11,0.34965034965034963,0.1931260417808186,7,4
road_urban,11,0.34965034965034963,0.2007826349952004,4,4
statue,11,0.34965034965034963,0.15861253982240503,11,2
vegetation_corn,10,0.3178639542275906,0.14255817085504532,9,4
vegetation_grassland,10,0.3178639542275906,0.19020774364471435,4,3
landscape_prairie,10,0.3178639542275906,0.22740120962262153,6,2
landscape_valley_arid,10,0.3178639542275906,0.4006605610251427,7,2
landscape_mountains_arid,9,0.28607755880483154,0.29600415627161664,9,6
landscape_volcanic,9,0.28607755880483154,0.2071998549832238,5,4
trekkers,9,0.28607755880483154,0.20796549485789406,6,7
landscape_fields_temperate,9,0.28607755880483154,0.1627121228310797,6,5
vegetation_hay,9,0.28607755880483154,0.19721142864889568,6,3
Maranho wide insulators,8,0.25429116338207247,0.21230876632034779,5,2
road_cobbled,8,0.25429116338207247,0.271741047501564,8,5
landscape_fields_tropical,8,0.25429116338207247,0.22788699064403772,2,1
road_coastal,8,0.25429116338207247,0.2625260120257735,4,3
vegetation_bush,8,0.25429116338207247,0.232092690654099,6,1
landscape_sky,8,0.25429116338207247,0.20960724167525768,6,5
vegetation_greenhouse,8,0.25429116338207247,0.17067663511261344,7,2
bin,8,0.25429116338207247,0.20073969569057226,6,5
script_european,7,0.22250476795931343,0.20509678551128932,6,3
Bay of Concepcin,7,0.22250476795931343,0.2552471469555582,1,4
Aragn Bollards,7,0.22250476795931343,0.2615128095660891,4,2
people_seastars,7,0.22250476795931343,0.23864478830780303,6,5
Po_ega valley,7,0.22250476795931343,0.20406961228166307,7,3
Ivan__ica and Medvednica,7,0.22250476795931343,0.1805829182267189,6,4
building_shape,7,0.22250476795931343,0.16830329596996307,5,3
Cear lamps,7,0.22250476795931343,0.2245074212551117,6,2
pole_bird,6,0.19071837253655435,0.19507227713863054,5,3
sign_information,6,0.19071837253655435,0.23091424504915872,6,6
landscape_ridge_temperate,6,0.19071837253655435,0.16037528092662492,4,1
road_paved,6,0.19071837253655435,0.21074655652046204,6,5
landscape_ridge_arid,6,0.19071837253655435,0.2603790933887164,6,2
landscape_farm,5,0.1589319771137953,0.1397397920489311,5,2
Aai Palms,5,0.1589319771137953,0.23433199524879456,5,3
Carnaba palms,5,0.1589319771137953,0.16562098264694214,5,3
traffic_light,5,0.1589319771137953,0.3342562556266785,5,2
Qubec bollards,5,0.1589319771137953,0.21954771280288696,5,1
vegetation_grassland_tropical,5,0.1589319771137953,0.11924178749322892,5,3
tram,5,0.1589319771137953,0.23623883575201035,5,4
vegetation_forest_arid,5,0.1589319771137953,0.1885524019598961,5,3
landscape_glacier,5,0.1589319771137953,0.19638322442770004,4,3
Stop and Arrt signs,5,0.1589319771137953,0.12954337149858475,5,2
landscape_valley_temperate,4,0.12714558169103624,0.22322245687246323,4,4
Chaitn Area,4,0.12714558169103624,0.10726395808160305,3,4
road_snow,4,0.12714558169103624,0.1547156348824501,4,3
Qubec traffic cones,4,0.12714558169103624,0.11945003271102905,4,1
hydrant,4,0.12714558169103624,0.31557080522179604,3,1
45¡ angle transformers,4,0.12714558169103624,0.36851050332188606,3,1
landscape_arctic,4,0.12714558169103624,0.18136865459382534,4,2
landscape_plateau_arid,4,0.12714558169103624,0.18520495854318142,4,3
Piau road,4,0.12714558169103624,0.25987378507852554,4,1
Ushuaa,4,0.12714558169103624,0.13818569481372833,4,3
landscape_canyon,4,0.12714558169103624,0.4347547572106123,2,2
Castilla y Len,3,0.09535918626827718,0.13259300341208777,3,1
landscape_flatland,3,0.09535918626827718,0.14867741614580154,2,2
vegetation_grassland_temperate,3,0.09535918626827718,0.22291254500548044,3,1
landscape_island,3,0.09535918626827718,0.12428717563549678,3,3
Qubec poles,3,0.09535918626827718,0.20726273953914642,2,1
